"Code","Descriptor","CodeSystem"
"3708006","Salmonella Uno (organism)","SNOMEDCT"
"37091006","Salmonella Derby (organism)","SNOMEDCT"
"37093009","Salmonella Hissar (organism)","SNOMEDCT"
"37261005","Salmonella Anatum (organism)","SNOMEDCT"
"37265001","Salmonella II 6,8:l,v:e,n,x (organism)","SNOMEDCT"
"37286001","Salmonella Penarth (organism)","SNOMEDCT"
"37297001","Salmonella Hermannswerder (organism)","SNOMEDCT"
"37339002","Salmonella II 1,53:d:z39 (organism)","SNOMEDCT"
"37420008","Salmonella Westminster (organism)","SNOMEDCT"
"37549003","Salmonella Neftenbach (organism)","SNOMEDCT"
"37669003","Salmonella Langford (organism)","SNOMEDCT"
"37944001","Salmonella Adjame (organism)","SNOMEDCT"
"37971001","Salmonella Bullbay (organism)","SNOMEDCT"
"3801008","Salmonella Ursenbach (organism)","SNOMEDCT"
"38130005","Salmonella Adamstown (organism)","SNOMEDCT"
"38171004","Salmonella II 13,23:-:1,6 (organism)","SNOMEDCT"
"38211003","Salmonella II 1,9,12,(46),27:l,z13,z28:z39 (organism)","SNOMEDCT"
"3835006","Salmonella Colobane (organism)","SNOMEDCT"
"38358008","Salmonella Alfort (organism)","SNOMEDCT"
"3837003","Salmonella Sendai (organism)","SNOMEDCT"
"3846009","Salmonella Gamaba (organism)","SNOMEDCT"
"38514007","Salmonella II 50:z10:z6 (organism)","SNOMEDCT"
"38604007","Salmonella II 39:a:z39 (organism)","SNOMEDCT"
"38658003","Salmonella Amsterdam (organism)","SNOMEDCT"
"38676005","Salmonella Bootle (organism)","SNOMEDCT"
"38701009","Salmonella Heerlen (organism)","SNOMEDCT"
"38762004","Salmonella Allerton (organism)","SNOMEDCT"
"38788001","Salmonella Havana (organism)","SNOMEDCT"
"38849007","Salmonella Florida (organism)","SNOMEDCT"
"39015005","Salmonella Amoutive (organism)","SNOMEDCT"
"39045008","Salmonella Eimsbuettel (organism)","SNOMEDCT"
"39185004","Salmonella Casamance (organism)","SNOMEDCT"
"39215001","Salmonella Vejle (organism)","SNOMEDCT"
"39531008","Salmonella II 9,46:z10:z39 (organism)","SNOMEDCT"
"39603007","Salmonella Parkroyal (organism)","SNOMEDCT"
"39664003","Salmonella Kottbus (organism)","SNOMEDCT"
"3970007","Salmonella Quentin (organism)","SNOMEDCT"
"397502001","Salmonella enterica subsp. arizonae (organism)","SNOMEDCT"
"39761002","Salmonella Shamba (organism)","SNOMEDCT"
"39775009","Salmonella Sanktmarx (organism)","SNOMEDCT"
"398331000","Salmonella IIIb 61:(k):z53 (organism)","SNOMEDCT"
"398333002","Salmonella IIIb 51:l,v:z (organism)","SNOMEDCT"
"398334008","Salmonella I, group O:9 (organism)","SNOMEDCT"
"398335009","Salmonella IIIb 61:z52:z35 (organism)","SNOMEDCT"
"398336005","Salmonella IIIb 60:k:z35 (organism)","SNOMEDCT"
"398337001","Salmonella I, group O:51 (organism)","SNOMEDCT"
"398339003","Salmonella IIIb 61:c:1,5,(7) (organism)","SNOMEDCT"
"398340001","Salmonella IIIb 60:z10:z (organism)","SNOMEDCT"
"398341002","Salmonella V, group O:60 (organism)","SNOMEDCT"
"398342009","Salmonella I, group O:3,10 (organism)","SNOMEDCT"
"398343004","Salmonella IIIb, group O:57 (organism)","SNOMEDCT"
"398344005","Salmonella IIIa 62:z4,z32:- (organism)","SNOMEDCT"
"398345006","Salmonella II, group O:59 (organism)","SNOMEDCT"
"398346007","Salmonella IIIb 61:z52:1,5,7 (organism)","SNOMEDCT"
"398347003","Salmonella IIIb, group O:16 (organism)","SNOMEDCT"
"398348008","Salmonella group O:9,46 (organism)","SNOMEDCT"
"398349000","Salmonella group O:13 (organism)","SNOMEDCT"
"398350000","Salmonella IIIa 51:g,z51:- (organism)","SNOMEDCT"
"398351001","Salmonella VI, group O:6,14 (organism)","SNOMEDCT"
"398353003","Salmonella IIIb 60:r:z (organism)","SNOMEDCT"
"398354009","Salmonella I, group O:16 (organism)","SNOMEDCT"
"398356006","Salmonella IIIa 59:z4:z23:- (organism)","SNOMEDCT"
"398357002","Salmonella IIIa, group O:56 (organism)","SNOMEDCT"
"398358007","Salmonella IIIa 63:z4,z32:- (organism)","SNOMEDCT"
"398359004","Salmonella IIIb 61:i:z (organism)","SNOMEDCT"
"398360009","Salmonella IIIb 6,14:k:z (organism)","SNOMEDCT"
"398361008","Salmonella V, group O:66 (organism)","SNOMEDCT"
"398362001","Salmonella I, group O:54 (organism)","SNOMEDCT"
"398363006","Salmonella IIIa 63:z36:- (organism)","SNOMEDCT"
"398364000","Salmonella group O:8 (organism)","SNOMEDCT"
"398366003","Salmonella II, group O:55 (organism)","SNOMEDCT"
"398368002","Salmonella IIIb 60:l,v:z (organism)","SNOMEDCT"
"398369005","Salmonella IIIb 61:l,v:z35 (organism)","SNOMEDCT"
"398370006","Salmonella IIIb 59:(k):e,n,x,z15 (organism)","SNOMEDCT"
"398371005","Salmonella enterica subsp. houtenae (organism)","SNOMEDCT"
"398372003","Salmonella IIIb 57:c:z:z60 (organism)","SNOMEDCT"
"398373008","Salmonella IIIb 61:k:1,5,(7) (organism)","SNOMEDCT"
"398374002","Salmonella IIIb 59:(k):z (organism)","SNOMEDCT"
"398375001","Salmonella IIIb, group O:58 (organism)","SNOMEDCT"
"398376000","Salmonella II 9,12:l,v:e,n,x (organism)","SNOMEDCT"
"398377009","Salmonella IIIb, group O:51 (organism)","SNOMEDCT"
"398379007","Salmonella IIIb 59:(k):z35 (organism)","SNOMEDCT"
"398380005","Salmonella IIIb, group O:60 (organism)","SNOMEDCT"
"398382002","Salmonella IIIb 60:i:z35 (organism)","SNOMEDCT"
"398383007","Salmonella IV, group O:6,14 (organism)","SNOMEDCT"
"398385000","Salmonella IIIb 59:l,v:z (organism)","SNOMEDCT"
"398386004","Salmonella II 3,10:z29:e,n,x (organism)","SNOMEDCT"
"398387008","Salmonella IIIb 61:c:z35 (organism)","SNOMEDCT"
"398388003","Salmonella IIIb 53:z10:z35 (organism)","SNOMEDCT"
"398389006","Salmonella IIIa, group O:7 (organism)","SNOMEDCT"
"398390002","Salmonella II, group O:3,10 (organism)","SNOMEDCT"
"398391003","Salmonella II 1,4,[5],12,27:a:e,n,x (organism)","SNOMEDCT"
"398392005","Salmonella IIIb 58:r:e,n,x,z15 (organism)","SNOMEDCT"
"398393000","Salmonella bongori (organism)","SNOMEDCT"
"398395007","Salmonella IIIb 52:k:z53 (organism)","SNOMEDCT"
"398396008","Salmonella IV 51:z4,z23:- (organism)","SNOMEDCT"
"398397004","Salmonella IIIb 65:z52:z35 (organism)","SNOMEDCT"
"398398009","Salmonella IIIb 52:k:z35 (organism)","SNOMEDCT"
"398399001","Salmonella group O:9,46,27 (organism)","SNOMEDCT"
"398400008","Salmonella IIIa, group O:51 (organism)","SNOMEDCT"
"398401007","Salmonella II, group O:4 (organism)","SNOMEDCT"
"398402000","Salmonella IIIa 56:z4,z23,z32:- (organism)","SNOMEDCT"
"398403005","Salmonella II 3,10:z4,z24:- (organism)","SNOMEDCT"
"398404004","Salmonella IIIa 63:g:z51:- (organism)","SNOMEDCT"
"398406002","Salmonella IIIa 62:g:z51:- (organism)","SNOMEDCT"
"398407006","Salmonella IIIb 60:r:e,n,x,z15 (organism)","SNOMEDCT"
"398409009","Salmonella Nchanga var 15+ (organism)","SNOMEDCT"
"398410004","Salmonella Southbank var 15+, 34+ (organism)","SNOMEDCT"
"398411000","Salmonella IIIa 59:z29:- (organism)","SNOMEDCT"
"398412007","Salmonella IIIb 60:z10:z35 (organism)","SNOMEDCT"
"398413002","Salmonella IV, group O:7 (organism)","SNOMEDCT"
"398414008","Salmonella II 1,9,12:a:e,n,x (organism)","SNOMEDCT"
"398415009","Salmonella IIIa 1,13,23:z4,z24:- (organism)","SNOMEDCT"
"398416005","Salmonella IIIb 65:l,v:z35 (organism)","SNOMEDCT"
"398417001","Salmonella IIIb 61:r:1,5,7 (organism)","SNOMEDCT"
"398418006","Salmonella IIIb 53:i:z (organism)","SNOMEDCT"
"398419003","Salmonella IIIa 56:z29:- (organism)","SNOMEDCT"
"398420009","Salmonella I, group O:2 (organism)","SNOMEDCT"
"398421008","Salmonella IIIa, group O:11 (organism)","SNOMEDCT"
"398422001","Salmonella II 3,10:e,n,x:1,7 (organism)","SNOMEDCT"
"398423006","Salmonella IIIb 61:l,v:1,5,7:[z57] (organism)","SNOMEDCT"
"398424000","Salmonella IIIb 59:l,v:z53 (organism)","SNOMEDCT"
"398425004","Salmonella IIIa 6,7,14:z39:1,2 (organism)","SNOMEDCT"
"398426003","Salmonella group O:2 (organism)","SNOMEDCT"
"398427007","Salmonella I, group O:57 (organism)","SNOMEDCT"
"398428002","Salmonella enterica subsp. diarizonae (organism)","SNOMEDCT"
"398429005","Salmonella group O:11 (organism)","SNOMEDCT"
"398430000","Salmonella I, group O:53 (organism)","SNOMEDCT"
"398431001","Salmonella IIIb 59:z10:z53 (organism)","SNOMEDCT"
"398433003","Salmonella IIIb 60:z52:z35 (organism)","SNOMEDCT"
"398434009","Salmonella IIIb 65:i:e,n,x,z15 (organism)","SNOMEDCT"
"398435005","Salmonella IIIb 51:k:z35 (organism)","SNOMEDCT"
"398436006","Salmonella group O:3,10 (organism)","SNOMEDCT"
"398437002","Salmonella IIIb 65:c:z53 (organism)","SNOMEDCT"
"398438007","Salmonella II 1,4,12,27:b:[e,n,x] (organism)","SNOMEDCT"
"398439004","Salmonella IIIa, group O:62 (organism)","SNOMEDCT"
"398440002","Salmonella IIIb 58:r:z53:(57) (organism)","SNOMEDCT"
"398441003","Salmonella II 3,10:g,m,s,t:[1,5] var 15+ (organism)","SNOMEDCT"
"398442005","Salmonella IIIb 61:z52:z (organism)","SNOMEDCT"
"398444006","Salmonella IIIa 59:z36:- (organism)","SNOMEDCT"
"398445007","Salmonella I, group O:11 (organism)","SNOMEDCT"
"398448009","Salmonella Meleagridis var 15+ (organism)","SNOMEDCT"
"398449001","Salmonella IIIa 6,7:(k):z:(z55) (organism)","SNOMEDCT"
"398450001","Salmonella IIIb 53:k:z (organism)","SNOMEDCT"
"398451002","Salmonella IV, group O:11 (organism)","SNOMEDCT"
"398453004","Salmonella IIIb 60:r:z35 (organism)","SNOMEDCT"
"398456007","Salmonella IIIb 60:(k):z53 (organism)","SNOMEDCT"
"398457003","Salmonella IIIb 53:z52:z53 (organism)","SNOMEDCT"
"398458008","Salmonella IIIb 60:z52:z (organism)","SNOMEDCT"
"398459000","Salmonella IIIa 53:g,z51:- (organism)","SNOMEDCT"
"398460005","Salmonella II, group O:9,46 (organism)","SNOMEDCT"
"398461009","Salmonella IIIb 53:z52:z35 (organism)","SNOMEDCT"
"398462002","Salmonella II, group O:8 (organism)","SNOMEDCT"
"398465000","Salmonella II 1,9,12,46,27:z10:1,5 (organism)","SNOMEDCT"
"398466004","Salmonella enterica subspecies enterica serovar Butantan var O:15, 34+ (organism)","SNOMEDCT"
"398467008","Salmonella group O:4 (organism)","SNOMEDCT"
"398469006","Salmonella IIIb 53:l,v:e,n,x,z15 (organism)","SNOMEDCT"
"398470007","Salmonella IIIa, group O:63 (organism)","SNOMEDCT"
"398471006","Salmonella IIIb 52:l,v:z53 (organism)","SNOMEDCT"
"398472004","Salmonella IIIb 53:l,v:z35 (organism)","SNOMEDCT"
"398473009","Salmonella Newlands var 15+, 34+ (organism)","SNOMEDCT"
"398474003","Salmonella IIIb 59:k:z53 (organism)","SNOMEDCT"
"398476001","Salmonella I, group O:52 (organism)","SNOMEDCT"
"398477005","Salmonella IIIb, group O:13 (organism)","SNOMEDCT"
"398478000","Salmonella Jedburgh var 15+ (organism)","SNOMEDCT"
"398480006","Salmonella I, group O:67 (organism)","SNOMEDCT"
"398481005","Salmonella IIIb 60:k:z (organism)","SNOMEDCT"
"398483008","Salmonella Lomalinda (organism)","SNOMEDCT"
"398484002","Salmonella IIIb 61:z10:z35 (organism)","SNOMEDCT"
"398485001","Salmonella IIIb (6),14:l,v:z35 (organism)","SNOMEDCT"
"398486000","Salmonella IIIb 1,6,14,25:z52:z35 (organism)","SNOMEDCT"
"398488004","Salmonella enterica subsp. salamae (organism)","SNOMEDCT"
"398490003","Salmonella I, group O:6,14 (organism)","SNOMEDCT"
"398491004","Salmonella IIIb 65:l,v:z53 (organism)","SNOMEDCT"
"398492006","Salmonella group O:6,14 (organism)","SNOMEDCT"
"398493001","Salmonella II, group O:60 (organism)","SNOMEDCT"
"398494007","Salmonella IIIb (6),14:l,v:z (organism)","SNOMEDCT"
"398495008","Salmonella IIIb 60:z52:z53 (organism)","SNOMEDCT"
"398496009","Salmonella IIIb 65:z52:z53 (organism)","SNOMEDCT"
"398497000","Salmonella IIIb 61:z52:z53 (organism)","SNOMEDCT"
"398498005","Salmonella IIIb (6),14:k:z53 (organism)","SNOMEDCT"
"398499002","Salmonella Shangani var 15+ (organism)","SNOMEDCT"
"398500006","Salmonella IIIb 65:z10:z (organism)","SNOMEDCT"
"398502003","Salmonella IIIb 61:r:z35 (organism)","SNOMEDCT"
"398508004","Salmonella enterica subsp. enterica (organism)","SNOMEDCT"
"398509007","Salmonella IIIb, group O:6,14 (organism)","SNOMEDCT"
"398510002","Salmonella IIIb 58:z52:z35 (organism)","SNOMEDCT"
"398511003","Salmonella I, group O:13 (organism)","SNOMEDCT"
"398512005","Salmonella IIIb 65:(k):z35 (organism)","SNOMEDCT"
"398514006","Salmonella IV, group O:51 (organism)","SNOMEDCT"
"398515007","Salmonella Zanzibar var 15+ (organism)","SNOMEDCT"
"398516008","Salmonella IIIa, group O:53 (organism)","SNOMEDCT"
"398517004","Salmonella IIIb 60:z52:1,5,7 (organism)","SNOMEDCT"
"398519001","Salmonella IIIb 65:l,v:z (organism)","SNOMEDCT"
"398520007","Salmonella IIIb 57:i:z (organism)","SNOMEDCT"
"398521006","Salmonella IIIa 53:z4,z23,z32:- (organism)","SNOMEDCT"
"398522004","Salmonella IIIb (6),14:r:z (organism)","SNOMEDCT"
"398525002","Salmonella IIIb 58:i:e,n,x,z15 (organism)","SNOMEDCT"
"398526001","Salmonella IV, group O:16 (organism)","SNOMEDCT"
"398527005","Salmonella IIIb 65:c:z (organism)","SNOMEDCT"
"398528000","Salmonella II, group O:11 (organism)","SNOMEDCT"
"398529008","Salmonella V, group O:13 (organism)","SNOMEDCT"
"398531004","Salmonella IIIb 53:z:1,5,(7) (organism)","SNOMEDCT"
"398532006","Salmonella IIIa 1,13,23:g,z51:- (organism)","SNOMEDCT"
"398533001","Salmonella I, group O:9,46 (organism)","SNOMEDCT"
"398534007","Salmonella II, group O:7 (organism)","SNOMEDCT"
"398535008","Salmonella IIIb 61:i:z35 (organism)","SNOMEDCT"
"398537000","Salmonella 3,10:R1,z40:1,7 (organism)","SNOMEDCT"
"398538005","Salmonella IIIb 61:l,v:z (organism)","SNOMEDCT"
"398539002","Salmonella IIIa, group O:59 (organism)","SNOMEDCT"
"398540000","Salmonella IIIb 58:l,v:e,n,x,z15 (organism)","SNOMEDCT"
"398541001","Salmonella IIIb, group O:59 (organism)","SNOMEDCT"
"398542008","Salmonella I, group O:7 (organism)","SNOMEDCT"
"398543003","Salmonella group O:16 (organism)","SNOMEDCT"
"398544009","Salmonella IIIb, group O:53 (organism)","SNOMEDCT"
"398546006","Salmonella IIIa 63:z4,z23:- (organism)","SNOMEDCT"
"398547002","Salmonella group O:1,3,19 (organism)","SNOMEDCT"
"398548007","Salmonella IIIa 62:z4,z23:- (organism)","SNOMEDCT"
"398549004","Salmonella Lutetia (organism)","SNOMEDCT"
"398550004","Salmonella Zaiman (organism)","SNOMEDCT"
"398551000","Salmonella IIIb 53:r:z35 (organism)","SNOMEDCT"
"398552007","Salmonella Florian (organism)","SNOMEDCT"
"398553002","Salmonella IIIb 61:i:e,n,x,z15 (organism)","SNOMEDCT"
"398555009","Salmonella II, group O:16 (organism)","SNOMEDCT"
"398556005","Salmonella IIIa, group O:13 (organism)","SNOMEDCT"
"398558006","Salmonella IIIb 65:z10:e,n,x,z15 (organism)","SNOMEDCT"
"398559003","Salmonella group O:9 (organism)","SNOMEDCT"
"398561007","Salmonella II, group O:9 (organism)","SNOMEDCT"
"398562000","Salmonella IIIb (6),14:z10:e,n,x,z15 (organism)","SNOMEDCT"
"398563005","Salmonella IIIb 61:i:z53 (organism)","SNOMEDCT"
"398564004","Salmonella IIIb, group O:65 (organism)","SNOMEDCT"
"398566002","Salmonella IIIb, group O:52 (organism)","SNOMEDCT"
"398567006","Salmonella I, group O:4 (organism)","SNOMEDCT"
"398569009","Salmonella IIIa 6,7:1,v:z53 (organism)","SNOMEDCT"
"398572002","Salmonella II, group O:13 (organism)","SNOMEDCT"
"398573007","Salmonella IIIb 53:k:e,n,x,z15 (organism)","SNOMEDCT"
"398574001","Salmonella IIIa 53:z29:- (organism)","SNOMEDCT"
"398576004","Salmonella I, group O:1,3,19 (organism)","SNOMEDCT"
"398577008","Salmonella IIIb 53:r:z (organism)","SNOMEDCT"
"398578003","Salmonella II 1,13,22:g,t:1,5 (organism)","SNOMEDCT"
"398580009","Salmonella IIIb 65:c:1,5,7 (organism)","SNOMEDCT"
"398581008","Salmonella IIIb 65:(k):z53 (organism)","SNOMEDCT"
"398582001","Salmonella IIIa 56:z4,z23:- (organism)","SNOMEDCT"
"398583006","Salmonella Ohlstedt var 15+ (organism)","SNOMEDCT"
"398584000","Salmonella I, group O:8 (organism)","SNOMEDCT"
"398586003","Salmonella II, group O:9,46,27 (organism)","SNOMEDCT"
"398587007","Salmonella IIIb 60:i:e,n,x,z15 (organism)","SNOMEDCT"
"398588002","Salmonella IIIb, group O:61 (organism)","SNOMEDCT"
"398590001","Salmonella IIIb 57:i:e,n,x,z15 (organism)","SNOMEDCT"
"398592009","Salmonella IIIb 61:r:z53 (organism)","SNOMEDCT"
"398593004","Salmonella group O:7 (organism)","SNOMEDCT"
"398594005","Salmonella Yaba var 15+ (organism)","SNOMEDCT"
"398595006","Salmonella IIIb 59:i:z (organism)","SNOMEDCT"
"398596007","Salmonella IIIb 58:z52:z (organism)","SNOMEDCT"
"398597003","Salmonella IIIb 53:(k):z35 (organism)","SNOMEDCT"
"398601003","Salmonella IIIa 6,7:-:1,6 (organism)","SNOMEDCT"
"398602005","Salmonella II, group O:6,14 (organism)","SNOMEDCT"
"398603000","Salmonella IIIb 58:r:z (organism)","SNOMEDCT"
"398604006","Salmonella IIIb 65:z52:z (organism)","SNOMEDCT"
"398605007","Salmonella IIIb 59:i:z35 (organism)","SNOMEDCT"
"398607004","Salmonella V, group O:61 (organism)","SNOMEDCT"
"398608009","Salmonella VI, group O:7 (organism)","SNOMEDCT"
"398609001","Salmonella VI, group O:11 (organism)","SNOMEDCT"
"398610006","Salmonella IIIb 6,14:b:e,n,x (organism)","SNOMEDCT"
"398612003","Salmonella IIIb 60:r:z53 (organism)","SNOMEDCT"
"398613008","Salmonella IIIb 59:z10:z57 (organism)","SNOMEDCT"
"398615001","Salmonella IIIb 65:(k):z (organism)","SNOMEDCT"
"398616000","Salmonella IIIa 51:z4,z24:- (organism)","SNOMEDCT"
"398618004","Salmonella IIIb, group O:11 (organism)","SNOMEDCT"
"398619007","Salmonella IIIb 65:i,v:e,n,x,z15 (organism)","SNOMEDCT"
"398620001","Salmonella enterica subsp. indica (organism)","SNOMEDCT"
"398622009","Salmonella Everleigh (organism)","SNOMEDCT"
"39877005","Salmonella Lexington (organism)","SNOMEDCT"
"39901006","Salmonella Garoli (organism)","SNOMEDCT"
"4005005","Salmonella Jamaica (organism)","SNOMEDCT"
"40114001","Salmonella Panama (organism)","SNOMEDCT"
"40157006","Salmonella Marienthal (organism)","SNOMEDCT"
"40216007","Salmonella Anna (organism)","SNOMEDCT"
"40280008","Salmonella II 1,6,14:z42:1,6 (organism)","SNOMEDCT"
"40288001","Salmonella Moroto (organism)","SNOMEDCT"
"40305002","Salmonella Kasenyi (organism)","SNOMEDCT"
"40311004","Salmonella Farmsen (organism)","SNOMEDCT"
"40314007","Salmonella IV 43:z4:z24:- (organism)","SNOMEDCT"
"40369005","Salmonella Abony (organism)","SNOMEDCT"
"40399001","Salmonella Oudwijk (organism)","SNOMEDCT"
"404249008","Salmonella II 16 g,[m],[s],t:[e,n,x] (organism)","SNOMEDCT"
"404250008","Salmonella IIIb 16:(k):z35 (organism)","SNOMEDCT"
"404251007","Salmonella IIIb 16:i:z35 (organism)","SNOMEDCT"
"404252000","Salmonella IIIb 16:k:z (organism)","SNOMEDCT"
"404253005","Salmonella IIIb 16:k:z53 (organism)","SNOMEDCT"
"404254004","Salmonella IIIb 16:l,v:1,5,7 (organism)","SNOMEDCT"
"404255003","Salmonella IIIb 16:l,v:z35 (organism)","SNOMEDCT"
"404256002","Salmonella IIIb 16:l,v:z53 (organism)","SNOMEDCT"
"404257006","Salmonella IIIb 16:l,v:z:(z61) (organism)","SNOMEDCT"
"404258001","Salmonella IIIb 16:z10:1,5,7 (organism)","SNOMEDCT"
"404259009","Salmonella IIIb 16:z10:e,n,x,z15 (organism)","SNOMEDCT"
"404260004","Salmonella IIIb 16:z52:z35 (organism)","SNOMEDCT"
"404261000","Salmonella IV 16:z4,z23:- (organism)","SNOMEDCT"
"404262007","Salmonella II 16:g,t:1,5 (organism)","SNOMEDCT"
"40427007","Salmonella Hann (organism)","SNOMEDCT"
"404275007","Salmonella group O:17 (organism)","SNOMEDCT"
"404276008","Salmonella I, group O:17 (organism)","SNOMEDCT"
"404277004","Salmonella II, group O:17 (organism)","SNOMEDCT"
"404278009","Salmonella IIIa, group O:17 (organism)","SNOMEDCT"
"404279001","Salmonella IIIb, group O:17 (organism)","SNOMEDCT"
"404280003","Salmonella IV, group O:17 (organism)","SNOMEDCT"
"404281004","Salmonella IIIb 17:i:z35 (organism)","SNOMEDCT"
"404282006","Salmonella IIIb 17:l,v:e,n,x,z15 (organism)","SNOMEDCT"
"404283001","Salmonella IIIb 17:l,v:z35 (organism)","SNOMEDCT"
"404284007","Salmonella IIIb 17:r:z (organism)","SNOMEDCT"
"404285008","Salmonella IIIb 17:z10:e,n,x,z15 (organism)","SNOMEDCT"
"404286009","Salmonella IIIb 17:z10:z (organism)","SNOMEDCT"
"404287000","Salmonella IIIa 17:z29:- (organism)","SNOMEDCT"
"404288005","Salmonella IIIa 17:z36:- (organism)","SNOMEDCT"
"404289002","Salmonella IIIa 17:z4,z23,z32:- (organism)","SNOMEDCT"
"404290006","Salmonella IIIa 17:z4,z23:- (organism)","SNOMEDCT"
"404291005","Salmonella IIIa 17:z4,z24:- (organism)","SNOMEDCT"
"404292003","Salmonella IIIa 17:z4,z32:- (organism)","SNOMEDCT"
"404293008","Salmonella IV 17:z29:- (organism)","SNOMEDCT"
"404294002","Salmonella group O:18 (organism)","SNOMEDCT"
"404295001","Salmonella I, group O:18 (organism)","SNOMEDCT"
"404296000","Salmonella II, group O:18 (organism)","SNOMEDCT"
"404297009","Salmonella IIIa, group O:18 (organism)","SNOMEDCT"
"404298004","Salmonella IIIb, group O:18 (organism)","SNOMEDCT"
"404299007","Salmonella IV, group O:18 (organism)","SNOMEDCT"
"404300004","Salmonella IIIa 18:z4,z23:- (organism)","SNOMEDCT"
"404301000","Salmonella II 18:z4,z23:- (organism)","SNOMEDCT"
"404302007","Salmonella II 18:z4,z24:- (organism)","SNOMEDCT"
"404303002","Salmonella IIIb 18:(k):z53 (organism)","SNOMEDCT"
"404304008","Salmonella IIIb 18:(k):z54 (organism)","SNOMEDCT"
"404305009","Salmonella IIIa 18:g,z51:- (organism)","SNOMEDCT"
"404306005","Salmonella IIIb 18:l,v:e,n,x,z15 (organism)","SNOMEDCT"
"404307001","Salmonella IIIb 18:l,v:z (organism)","SNOMEDCT"
"404308006","Salmonella IIIb 18:r:z (organism)","SNOMEDCT"
"404309003","Salmonella IIIa 18:z4,z32:- (organism)","SNOMEDCT"
"404310008","Salmonella group O:21 (organism)","SNOMEDCT"
"404311007","Salmonella I, group O:21 (organism)","SNOMEDCT"
"404312000","Salmonella II, group O:21 (organism)","SNOMEDCT"
"404313005","Salmonella IIIa, group O:21 (organism)","SNOMEDCT"
"404314004","Salmonella IIIb, group O:21 (organism)","SNOMEDCT"
"404315003","Salmonella IV, group O:21 (organism)","SNOMEDCT"
"404316002","Salmonella IIIa 21:z4,z23:- (organism)","SNOMEDCT"
"404317006","Salmonella Baguida (organism)","SNOMEDCT"
"404318001","Salmonella II 21:z4,z24:- (organism)","SNOMEDCT"
"404319009","Salmonella IIIa 21:z4,z24:- (organism)","SNOMEDCT"
"404320003","Salmonella IIIa 21:g,z51:- (organism)","SNOMEDCT"
"404321004","Salmonella IIIb 21:i:1,5,7 (organism)","SNOMEDCT"
"404322006","Salmonella IIIb 21:i:e,n,x,z15 (organism)","SNOMEDCT"
"404323001","Salmonella IIIb 21:k:e,n,x,z15 (organism)","SNOMEDCT"
"404324007","Salmonella IIIb 21:k:z (organism)","SNOMEDCT"
"404325008","Salmonella IIIb 21:l,v:z (organism)","SNOMEDCT"
"404326009","Salmonella IIIb 21:l,v:z57 (organism)","SNOMEDCT"
"404327000","Salmonella IIIb 21:z10:e,n,x,z15 (organism)","SNOMEDCT"
"404328005","Salmonella IIIb 21:z10:z (organism)","SNOMEDCT"
"404329002","Salmonella IIIa 21:z29:- (organism)","SNOMEDCT"
"404330007","Salmonella IIIb 21:z65:e,n,x,z15 (organism)","SNOMEDCT"
"404331006","Salmonella Rhone (organism)","SNOMEDCT"
"404332004","Salmonella II 21:c:e,n,x (organism)","SNOMEDCT"
"404333009","Salmonella group O:28 (organism)","SNOMEDCT"
"404334003","Salmonella I, group O:28 (organism)","SNOMEDCT"
"404335002","Salmonella II, group O:28 (organism)","SNOMEDCT"
"404336001","Salmonella IIIb, group O:28 (organism)","SNOMEDCT"
"404337005","Salmonella II 28:r:e,n,z15 (organism)","SNOMEDCT"
"404338000","Salmonella group O:30 (organism)","SNOMEDCT"
"404339008","Salmonella I, group O:30 (organism)","SNOMEDCT"
"404340005","Salmonella II, group O:30 (organism)","SNOMEDCT"
"404341009","Salmonella group O:35 (organism)","SNOMEDCT"
"404342002","Salmonella I, group O:35 (organism)","SNOMEDCT"
"404343007","Salmonella II, group O:35 (organism)","SNOMEDCT"
"404344001","Salmonella IIIa, group O:35 (organism)","SNOMEDCT"
"404345000","Salmonella IIIb, group O:35 (organism)","SNOMEDCT"
"404346004","Salmonella IIIa 35:z4,z23:- (organism)","SNOMEDCT"
"404347008","Salmonella Alachua (organism)","SNOMEDCT"
"404348003","Salmonella IIIb 35:(k):z (organism)","SNOMEDCT"
"404349006","Salmonella IIIb 35:(k):z35 (organism)","SNOMEDCT"
"404350006","Salmonella IIIa 35:g,z51:- (organism)","SNOMEDCT"
"404351005","Salmonella IIIb 35:i:e,n,x,z15 (organism)","SNOMEDCT"
"404352003","Salmonella IIIb 35:i:z (organism)","SNOMEDCT"
"404353008","Salmonella IIIb 35:k:z (organism)","SNOMEDCT"
"404354002","Salmonella IIIb 35:l,v:1,5,7 (organism)","SNOMEDCT"
"404355001","Salmonella IIIb 35:r:e,n,x,z15 (organism)","SNOMEDCT"
"404356000","Salmonella IIIb 35:r:z35 (organism)","SNOMEDCT"
"404357009","Salmonella IIIb 35:r:z61 (organism)","SNOMEDCT"
"404358004","Salmonella IIIb35:z10:z35 (organism)","SNOMEDCT"
"404359007","Salmonella IIIa 35:z29:- (organism)","SNOMEDCT"
"404360002","Salmonella IIIa 35:z36:- (organism)","SNOMEDCT"
"404361003","Salmonella IIIa 35:z4,z32:- (organism)","SNOMEDCT"
"404362005","Salmonella IIIb 35:z52:1,5,7 (organism)","SNOMEDCT"
"404363000","Salmonella IIIb 35:z52:e,n,x,z15 (organism)","SNOMEDCT"
